,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,min,median,max,mean/std
0,female,group B,bachelor's degree,standard,none,69.59979869372896,72.0,74.0,69.59979869372896,70.79989934686448,74.0,71.2/1.85
1,female,group C,some college,standard,completed,59.569645063792336,90.0,88.0,59.569645063792336,73.78482253189617,90.0,74.18/14.73
2,female,group B,master's degree,standard,none,66.65791655439577,95.0,93.0,66.65791655439577,79.82895827719788,95.0,80.23/13.69
3,male,group A,associate's degree,free/reduced,none,70.0694495945403,57.0,44.0,44.0,50.5,70.0694495945403,53.11/10.9
4,male,group C,some college,standard,none,61.262022848046456,78.0,75.0,61.262022848046456,68.13101142402323,78.0,68.73/7.7
5,female,group B,associate's degree,standard,none,97.8680782832826,83.0,78.0,78.0,80.5,97.8680782832826,83.47/8.31
6,female,group B,some college,standard,completed,76.73819758760536,95.0,92.0,76.73819758760536,84.36909879380268,95.0,84.97/8.45
7,male,group B,some college,free/reduced,none,70.18138501442957,43.0,39.0,39.0,41.0,70.18138501442957,46.44/13.38
8,male,group D,high school,free/reduced,completed,59.525920264396,64.0,67.0,59.525920264396,61.762960132198,67.0,62.36/3.19
9,female,group B,high school,free/reduced,none,68.06789916486201,60.0,50.0,50.0,55.0,68.06789916486201,56.61/7.63
10,male,group C,associate's degree,standard,none,72.50146822078297,54.0,52.0,52.0,53.0,72.50146822078297,56.7/8.87
11,male,group D,associate's degree,standard,none,80.88656810365674,52.0,43.0,43.0,47.5,80.88656810365674,53.28/15.88
12,female,group B,high school,standard,none,94.9862246225682,81.0,73.0,73.0,77.0,94.9862246225682,79.8/9.12
13,male,group A,some college,standard,completed,62.90301515399517,72.0,70.0,62.90301515399517,66.45150757699759,72.0,66.85/4.12
14,female,group A,master's degree,standard,none,84.56342969675693,53.0,58.0,53.0,55.5,84.56342969675693,60.81/13.44
15,female,group C,some high school,standard,none,67.9189386296223,75.0,78.0,67.9189386296223,71.45946931481114,78.0,72.06/4.43
16,male,group C,high school,standard,none,95.4139980161462,89.0,86.0,86.0,87.5,95.4139980161462,88.78/3.91
17,female,group B,some high school,free/reduced,none,55.16472925786591,32.0,28.0,28.0,30.0,55.16472925786591,34.63/11.6
18,male,group C,master's degree,free/reduced,completed,61.710652226313805,42.0,46.0,42.0,44.0,61.710652226313805,47.14/8.31
19,female,group C,associate's degree,free/reduced,none,62.62405388653952,58.0,61.0,58.0,59.5,62.62405388653952,59.82/2.0
20,male,group D,high school,standard,none,75.17974726765807,69.0,63.0,63.0,66.0,75.17974726765807,67.24/5.09
21,female,group B,some college,free/reduced,completed,59.28138123938036,75.0,70.0,59.28138123938036,64.64069061969018,75.0,65.64/6.86
22,male,group D,some college,standard,none,69.44989943108226,54.0,53.0,53.0,53.5,69.44989943108226,56.59/7.2
23,female,group C,some high school,standard,none,69.40919060948235,73.0,73.0,69.40919060948235,71.20459530474118,73.0,71.2/1.8
24,male,group D,bachelor's degree,free/reduced,completed,68.26234650847525,71.0,80.0,68.26234650847525,69.63117325423762,80.0,71.43/4.92
25,male,group A,master's degree,free/reduced,none,74.35137054093585,74.0,72.0,72.0,73.0,74.35137054093585,73.07/1.1
26,male,group B,some college,standard,none,90.86380245698854,54.0,55.0,54.0,54.5,90.86380245698854,61.67/16.32
27,female,group C,bachelor's degree,standard,none,95.12312577462684,69.0,75.0,69.0,72.0,95.12312577462684,76.02/10.96
28,male,group C,high school,standard,none,96.01817047799727,70.0,65.0,65.0,67.5,96.01817047799727,72.7/13.2
29,female,group D,master's degree,standard,none,58.03986501804682,70.0,75.0,58.03986501804682,64.0199325090234,75.0,65.02/7.46
30,female,group D,some college,standard,none,92.6940471474446,74.0,74.0,74.0,74.0,92.6940471474446,77.74/8.36
31,female,group B,some college,standard,none,82.12574207152915,65.0,61.0,61.0,63.0,82.12574207152915,66.43/8.93
32,female,group E,master's degree,free/reduced,none,94.5096929782486,72.0,65.0,65.0,68.5,94.5096929782486,73.0/12.37
33,male,group D,some college,standard,none,71.80133999674389,42.0,38.0,38.0,40.0,71.80133999674389,45.96/14.54
